hanja,unicode,reading,meaning_kw
盪,U+76EA,탕,씻을
碭,U+78AD,탕,무늬진 돌
蘯,U+862F,탕,쓸
宅,U+5B85,택,집
澤,U+6FA4,택,못
擇,U+64C7,택,가릴
垞,U+579E,택,언덕
土,U+571F,토,흙
吐,U+5410,토,토할
討,U+8A0E,토,다스릴
兔,U+5154,토,토끼
兎,U+514E,토,토키
通,U+901A,통,뚫릴
統,U+7D71,통,거느릴
痛,U+75DB,통,아플
桶,U+6876,통,엿되들이 통
慟,U+615F,통,서러울
洞,U+6D1E,통,구렁
筒,U+7B52,통,사통대
恫,U+606B,통,슬플
樋,U+6A0B,통,대 홈
筩,U+7B69,통,대나무통
退,U+9000,퇴,물러갈
堆,U+5806,퇴,흙무더기 퇴 놓을
槌,U+69CC,퇴,몽둥이
腿,U+817F,퇴,넓적다리
褪,U+892A,퇴,옷 벗을
頹,U+9839,퇴,기울어질
隤,U+96A4,퇴,무너질
投,U+6295,투,던질
透,U+900F,투,통할
鬪,U+9B2A,투,싸움
偸,U+5078,투,훔칠
套,U+5957,투,전례
妬,U+59AC,투,투기할
妒,U+5992,투,투기할
渝,U+6E1D,투,빛 변할
骰,U+9AB0,투,주사위
特,U+7279,특,우뚝할
慝,U+615D,특,간악할
忒,U+5FD2,특,변할
判,U+5224,판,판단할
板,U+677F,판,널조각
販,U+8CA9,판,장사
版,U+7248,판,조각
阪,U+962A,판,산비탈
坂,U+5742,판,언덕
瓣,U+74E3,판,외씨
辦,U+8FA6,판,힘들일
鈑,U+9211,판,불린 금
八,U+516B,팔,여덟
叭,U+53ED,팔,나팔
捌,U+634C,팔,깨뜨릴
朳,U+6733,팔,고무래
汃,U+6C43,팔,물결치는 소리
貝,U+8C9D,패,조개
敗,U+6557,패,헐어질
浿,U+6D7F,패,물이름
佩,U+4F69,패,패옥
牌,U+724C,패,방 붙일
唄,U+5504,패,염불소리
悖,U+6096,패,거스를
沛,U+6C9B,패,둥둥 뜰
狽,U+72FD,패,이리
稗,U+7A17,패,돌피
霸,U+9738,패,으뜸
孛,U+5B5B,패,혜성
旆,U+65C6,패,기
珮,U+73EE,패,노리개
霈,U+9708,패,비 쏟아질
覇,U+8987,패,으뜸
扁,U+6241,편,특별할
翩,U+7FE9,편,훌쩍 날
鞭,U+97AD,편,채찍
騙,U+9A19,편,속일
匾,U+533E,편,납작할
徧,U+5FA7,편,두루 미칠
惼,U+60FC,편,조급할
緶,U+7DF6,편,꿰맬
艑,U+8251,편,거룻배
萹,U+8439,편,마디풀
蝙,U+8759,편,박쥐
褊,U+890A,편,좁을
諞,U+8ADE,편,공교한 말
平,U+5E73,평,평탄할
評,U+8A55,평,평론할
坪,U+576A,평,벌판
枰,U+67B0,평,장기판
泙,U+6CD9,평,물소리
萍,U+840D,평,마름
怦,U+6026,평,맘 급할
抨,U+62A8,평,탄핵할
苹,U+82F9,평,맑은 대쑥
蓱,U+84F1,평,마름
鮃,U+9B83,평,가자미
陛,U+965B,폐,대궐 섬돌
吠,U+5420,폐,짖을
嬖,U+5B16,폐,사랑할
斃,U+6583,폐,죽을
敝,U+655D,폐,옷 해질
狴,U+72F4,폐,짐승이름
獘,U+7358,폐,곤할
癈,U+7648,폐,고질병
脯,U+812F,포,포
苞,U+82DE,포,그령풀
蒲,U+84B2,포,부들풀
袍,U+888D,포,도포
逋,U+900B,포,달아날
鮑,U+9B91,포,절인 생선
拋,U+62CB,포,던질
儤,U+5124,포,번 설
庖,U+5E96,포,푸줏간
晡,U+6661,포,신시
曓,U+66D3,포,급할
炮,U+70AE,포,그슬릴
炰,U+70B0,포,그슬
誧,U+8AA7,포,꾀할
抛,U+629B,포,던질
暴,U+66B4,폭,햇빛 쪼일
爆,U+7206,폭,불터질
幅,U+5E45,폭,폭
曝,U+66DD,폭,햇볕에 말릴
瀑,U+7011,폭,폭포수
輻,U+8F3B,폭,바퀴살통
表,U+8868,표,겉
票,U+7968,표,쪽지
標,U+6A19,표,표시할
漂,U+6F02,표,뜰
飆,U+98C6,표,폭풍
飇,U+98C7,표,회오리바람
品,U+54C1,품,뭇
稟,U+7A1F,품,여쭐
風,U+98A8,풍,바람
豐,U+8C50,풍,풍년
諷,U+8AF7,풍,비유로 간할
馮,U+99AE,풍,벼슬이름
楓,U+6953,풍,단풍나무
瘋,U+760B,풍,두풍
豊,U+8C4A,풍,풍년
披,U+62AB,피,헤칠
陂,U+9642,피,기울어질
詖,U+8A56,피,말 잘할
鞁,U+9781,피,말 가슴걸이
髲,U+9AF2,피,머리쓰개
必,U+5FC5,필,반드시
匹,U+5339,필,짝
筆,U+7B46,필,붓
畢,U+7562,필,마칠
廈,U+5EC8,하,큰 집
厦,U+53A6,하,큰 집
夏,U+590F,하,여름
昰,U+6630,하,여름
學,U+5B78,학,배울
鶴,U+9DB4,학,두루미
壑,U+58D1,학,골짜기
虐,U+8650,학,사나울
謔,U+8B14,학,희롱할
嗃,U+55C3,학,꾸짖을
狢,U+72E2,학,오소리
瘧,U+7627,학,학질
皬,U+76AC,학,흴
确,U+786E,학,확실할
郝,U+90DD,학,고을 이름
鷽,U+9DFD,학,메까치
学,U+5B66,학,배울
割,U+5272,할,벨
轄,U+8F44,할,다스릴
瞎,U+778E,할,애꾸눈
咸,U+54B8,함,모두
含,U+542B,함,머금을
陷,U+9677,함,빠질
函,U+51FD,함,상자
涵,U+6DB5,함,젖을
艦,U+8266,함,싸움배
喊,U+558A,함,소리
檻,U+6ABB,함,우리
緘,U+7DD8,함,봉할
銜,U+929C,함,재갈
鹹,U+9E79,함,짤
菡,U+83E1,함,연봉오리
莟,U+839F,함,꽃봉오리
諴,U+8AF4,함,화할
轞,U+8F5E,함,함거
闞,U+95DE,함,범 소리
啣,U+5563,함,재갈
合,U+5408,합,합할
哈,U+54C8,합,한 모금
盒,U+76D2,합,소반 뚜껑
蛤,U+86E4,합,조개
閤,U+95A4,합,도장
闔,U+95D4,합,문짝
陜,U+965C,합,땅이름
匌,U+530C,합,기운 답답할
嗑,U+55D1,합,잔말할
柙,U+67D9,합,우리
榼,U+69BC,합,술그릇
溘,U+6E98,합,문득
盍,U+76CD,합,덮을
郃,U+90C3,합,땅이름
亢,U+4EA2,항,목
沆,U+6C86,항,큰 물
姮,U+59EE,항,항아
伉,U+4F09,항,강직할
杭,U+676D,항,건널
桁,U+6841,항,수갑
缸,U+7F38,항,항아리
肛,U+809B,항,똥구멍
行,U+884C,항,시장
降,U+964D,항,항복할
夯,U+592F,항,멜
炕,U+7095,항,마를
缿,U+7F3F,항,항통
頏,U+980F,항,목
恒,U+6052,항,늘
恆,U+6046,항,항상
嫦,U+5AE6,항,항아
澥,U+6FA5,해,
祄,U+7944,해,
晐,U+6650,해,
嶰,U+5DB0,해,골짝 사이
廨,U+5EE8,해,관청
欬,U+6B2C,해,기침할
獬,U+736C,해,신통한 양
痎,U+75CE,해,학질
薤,U+85A4,해,염교
醢,U+91A2,해,젓
頦,U+9826,해,턱
鮭,U+9BAD,해,어채
䀭,U+402D,해,
絯,U+7D6F,해,
海,U+6D77,해,바다
核,U+6838,핵,실과
劾,U+52BE,핵,캐물을
翮,U+7FEE,핵,깃촉
覈,U+8988,핵,핵실할
行,U+884C,행,다닐
幸,U+5E78,행,다행할
杏,U+674F,행,살구
倖,U+5016,행,요행
荇,U+8347,행,마름풀
涬,U+6DAC,행,
悻,U+60BB,행,발끈 성낼
珦,U+73E6,향,옥 이름
嚮,U+56AE,향,향할
餉,U+9909,향,먹일
饗,U+9957,향,잔치할
麘,U+9E98,향,
晑,U+6651,향,
薌,U+858C,향,곡기
虛,U+865B,허,빌
許,U+8A31,허,허락할
墟,U+589F,허,옛 터
噓,U+5653,허,불
歔,U+6B54,허,한숨 쉴
軒,U+8ED2,헌,초헌
憲,U+61B2,헌,법
獻,U+737B,헌,바칠
櫶,U+6AF6,헌,나무 이름
䡣,U+4863,헌,
㦥,U+39A5,헌,
昍,U+660D,헌,
巚,U+5DDA,헌,봉우리
幰,U+5E70,헌,수레 안장
攇,U+6507,헌,비길
險,U+96AA,험,험할
驗,U+9A57,험,시험할
嶮,U+5DAE,험,산 가파를
獫,U+736B,험,험윤 오랑캐
玁,U+7381,험,오랑캐 이름
革,U+9769,혁,가죽
赫,U+8D6B,혁,불 이글이글할
爀,U+7200,혁,불빛
奕,U+5955,혁,아름다울
焱,U+7131,혁,불꽃
侐,U+4F90,혁,고요할
焃,U+7103,혁,
𧹽,U+27E7D,혁,
嚇,U+5687,혁,노할
弈,U+5F08,혁,바둑둘
洫,U+6D2B,혁,넘칠
鬩,U+9B29,혁,송사할
衒,U+8852,현,자랑할
弦,U+5F26,현,시위
儇,U+5107,현,영리할
譞,U+8B5E,현,
怰,U+6030,현,
䧋,U+49CB,현,
鋗,U+92D7,현,노구솥
㢺,U+38BA,현,
琄,U+7404,현,옥 모양
嬛,U+5B1B,현,산뜻할
娊,U+5A0A,현,
妶,U+59B6,현,
灦,U+7066,현,
㭹,U+3B79,현,
顯,U+986F,현,나타날
顕,U+9855,현,나타날
䝮,U+476E,현,
血,U+8840,혈,피
穴,U+7A74,혈,굴
孑,U+5B51,혈,외로울
頁,U+9801,혈,머리
絜,U+7D5C,혈,헤아릴
趐,U+8D90,혈,새가 떼로 날
嫌,U+5ACC,혐,싫어할
協,U+5354,협,조화할
脅,U+8105,협,갈빗대
脇,U+8107,협,위협할
迥,U+8FE5,형,막을
逈,U+9008,형,멀
惠,U+60E0,혜,은혜
慧,U+6167,혜,슬기로울
兮,U+516E,혜,어조사
恵,U+6075,혜,은혜
芐,U+8290,호,
芦,U+82A6,호,지황
浩,U+6D69,호,클
澔,U+6F94,호,넓을
號,U+865F,호,울부짖을
号,U+53F7,호,이름
或,U+6216,혹,혹
惑,U+60D1,혹,미혹할
酷,U+9177,혹,독할
熇,U+7187,혹,뜨거울
婚,U+5A5A,혼,혼인할
混,U+6DF7,혼,섞을
昏,U+660F,혼,어두울
魂,U+9B42,혼,넋
渾,U+6E3E,혼,흐릴
琿,U+743F,혼,아름다운 옥
俒,U+4FD2,혼,완전할
䫟,U+4ADF,혼,
圂,U+5702,혼,뒷간
湣,U+6E63,혼,낚시줄
溷,U+6EB7,혼,어지러울
焜,U+711C,혼,빛날
閽,U+95BD,혼,문지기
忽,U+5FFD,홀,소흘히 할
惚,U+60DA,홀,황홀할
笏,U+7B0F,홀,홀
囫,U+56EB,홀,온전할
紅,U+7D05,홍,붉을
洪,U+6D2A,홍,큰물
弘,U+5F18,홍,넓을
鴻,U+9D3B,홍,큰 기러기
泓,U+6CD3,홍,깊을
烘,U+70D8,홍,횃불
虹,U+8679,홍,무지개
鉷,U+9277,홍,돌쇠뇌
哄,U+54C4,홍,떠들썩할
汞,U+6C5E,홍,수은
訌,U+8A0C,홍,무너질
晎,U+664E,홍,날 밝으려 할
澒,U+6F92,홍,수은
篊,U+7BCA,홍,홈통
鬨,U+9B28,홍,싸울
和,U+548C,화,화할
話,U+8A71,화,말할
畫,U+756B,화,그림
華,U+83EF,화,꽃
嬅,U+5B05,화,여자 이름
樺,U+6A3A,화,자작나무
譁,U+8B41,화,시끄러울
靴,U+9774,화,신
澕,U+6F95,화,
俰,U+4FF0,화,화할
嘩,U+5629,화,떠들썩할
驊,U+9A4A,화,준마
龢,U+9FA2,화,풍류 조화될
畵,U+7575,화,그림
確,U+78BA,확,굳을
穫,U+7A6B,확,벼 벨
擴,U+64F4,확,넓힐
廓,U+5ED3,확,클
攫,U+652B,확,붙잡을
矍,U+77CD,확,두리번거릴
矡,U+77E1,확,호미
礭,U+792D,확,회초리
鑊,U+944A,확,가마
碻,U+78BB,확,굳을
活,U+6D3B,활,살
闊,U+95CA,활,트일
滑,U+6ED1,활,미끄러울
猾,U+733E,활,교활할
豁,U+8C41,활,뚫린 골
蛞,U+86DE,활,괄태충
濶,U+6FF6,활,
黃,U+9EC3,황,누를
皇,U+7687,황,임금
況,U+6CC1,황,하물며
荒,U+8352,황,거칠
慌,U+614C,황,어렴풋할
湟,U+6E5F,황,해자
潢,U+6F62,황,웅덩이
篁,U+7BC1,황,대숲
簧,U+7C27,황,혀
蝗,U+8757,황,누리
遑,U+9051,황,허둥거릴
隍,U+968D,황,해자
楻,U+697B,황,
喤,U+55A4,황,어린아이 울음
怳,U+6033,황,멍할
瑝,U+745D,황,옥 소리
肓,U+8093,황,명치 끝
貺,U+8CBA,황,줄
晃,U+6643,황,밝을
晄,U+6644,황,밝을
回,U+56DE,회,돌
會,U+6703,회,모일
悔,U+6094,회,뉘우칠
懷,U+61F7,회,품을
繪,U+7E6A,회,그림
絵,U+7D75,회,
会,U+4F1A,회,모일
獲,U+7372,획,얻을
劃,U+5283,획,쪼갤
画,U+753B,획,그을
嚄,U+5684,획,외칠
橫,U+6A6B,횡,가로
鐄,U+9404,횡,종
宖,U+5B96,횡,집 울릴
澋,U+6F8B,횡,물이 빙 돌
鈜,U+921C,횡,쇳소리
黌,U+9ECC,횡,글방
孝,U+5B5D,효,효도
效,U+6548,효,본받을
曉,U+66C9,효,새벽
効,U+52B9,효,본받을
後,U+5F8C,후,뒤
厚,U+539A,후,두터울
侯,U+4FAF,후,과녁
候,U+5019,후,물을
訓,U+8A13,훈,가르칠
勳,U+52F3,훈,공
焄,U+7104,훈,연기에 그을릴
熏,U+718F,훈,연기 낄
薰,U+85B0,훈,향불
壎,U+58CE,훈,진나팔
燻,U+71FB,훈,연기 낄
鑂,U+9442,훈,금빛 투색할
暈,U+6688,훈,무리
纁,U+7E81,훈,분홍빛
煇,U+7147,훈,지질
薫,U+85AB,훈,향내
曛,U+66DB,훈,삭양 빛
獯,U+736F,훈,오랑캐 이름
葷,U+8477,훈,매운 채소
毁,U+6BC1,훼,헐
喙,U+5599,훼,부리
毀,U+6BC0,훼,헐
𠦄,U+20984,훼,
燬,U+71EC,훼,불
芔,U+8294,훼,풀
虺,U+867A,훼,살무사
卉,U+5349,훼,풀
揮,U+63EE,휘,휘두를
輝,U+8F1D,휘,빛날
彙,U+5F59,휘,무리
徽,U+5FBD,휘,아름다울
暉,U+6689,휘,빛
煇,U+7147,휘,빛날
諱,U+8AF1,휘,꺼릴
麾,U+9EBE,휘,대장기
煒,U+7152,휘,벌그레할
撝,U+649D,휘,찣을
翬,U+7FEC,휘,훨훨 날
休,U+4F11,휴,쉴
携,U+643A,휴,끌
烋,U+70CB,휴,경사로울
畦,U+7566,휴,밭두둑
虧,U+8667,휴,이지러질
庥,U+5EA5,휴,
咻,U+54BB,휴,떠들
隳,U+96B3,휴,무너뜨릴
髹,U+9AF9,휴,옻칠할
鵂,U+9D42,휴,수리부엉이
凶,U+51F6,흉,흉할
胸,U+80F8,흉,가슴
兇,U+5147,흉,흉악할
匈,U+5308,흉,오랑캐
洶,U+6D36,흉,물살세찰
恟,U+605F,흉,두려워할
胷,U+80F7,흉,가슴
黑,U+9ED1,흑,검을
吸,U+5438,흡,숨 들이쉴
洽,U+6D3D,흡,윤태하게 할
恰,U+6070,흡,마치
翕,U+7FD5,흡,합할
噏,U+564F,흡,숨 들이쉴
歙,U+6B59,흡,줄일
潝,U+6F5D,흡,빨리 흐르는 소리
翖,U+7FD6,흡,합할
興,U+8208,흥,일
希,U+5E0C,희,바랄
喜,U+559C,희,기뻐할
稀,U+7A00,희,드물
戲,U+6232,희,탄식할
憘,U+6198,희,기쁠
犧,U+72A7,희,희생
噫,U+566B,희,탄식할
熙,U+7199,희,빛날
烯,U+70EF,희,
暿,U+66BF,희,웃을
譆,U+8B46,희,
㜯,U+372F,희,
咥,U+54A5,희,허허 웃을
唏,U+550F,희,슬퍼할
嘻,U+563B,희,웃을
悕,U+6095,희,슬퍼할
欷,U+6B37,희,흐느낄
燹,U+71F9,희,들불
